Rank,Title,Year of release,Number of Episodes,Rating,Description,Genre,Tags,Actors,,
#177,Mad Dog,2017,16,8.4,"Choi Kang Woo, who is a former police and leader of Taeyang Insurance's investigators team, decides to create his own investigation team, after an airplane crash that took the life of his wife and son. He then meets Kim Min Joon, a genius former swindler whose brother was also a victim of the crash, thus begin their rivalry and cooperation. The drama portrays the reality of Korea through diverse insurance crimes that are prevalent in the country. There are the 'copy cats' that imitate and improve the existing crimes, and the 'mad dogs' who catch these bad cats.","Action, Thriller, Mystery","Revenge, Tragic Past, Enemy Mine, Corruption, Insurance, Strong Female Lead, Teamwork, Fraud, Investigation, Bromance","Yoo Ji Tae, Woo Do Hwan, Ryu Hwa Young, Jo Jae Yoon, Kim Hye Sung, Hong Soo Hyun",,
#178,Birthcare Center,2020,8,8.4,"Oh Hyun Jin  has had a glittering career in her work life. She is the youngest member on the board of executives at the company she works at and is used to acing everything she does. But when she delivers her first child, she is in for a shock. Giving birth was far more difficult than she had expected, and she quickly discovers that although she is a dab hand at all things work-related, she hasn?ôt got the first clue about how to bring up a baby. After being discharged from hospital, she heads to a birth care center ??an exclusive establishment where even A-list stars come to get postpartum care. She is dismayed to realize that she is the oldest mother in the center, and embarrassed to notice that everyone else seems to know what they are doing when it comes to looking after babies. Fortunately, the other mothers at the center prove inspirational. Among their number is Cho Eun Jung, aka the Queen Bee ??a seemingly perfect mother whom everyone wants to befriend in order to learn childcare secrets. And Choi Hye Sook is the charismatic center manager ??a veritable font of knowledge about all things childcare-related.","Comedy, Life, Drama, Melodrama","Motherhood, Childbirth, Strong Female Lead, Older Woman/Younger Man, Sismance, Black Comedy, Hardworking Female Lead, Independent Female Lead, Multiple Mains, Pregnancy","Uhm Ji Won, Park Ha Sun, Choi Ri, Jang Hye Jin, Yoon Park, Im Hwa Young",,
#179,Nine: Nine Times Time Travel,2013,20,8.4,"Park Sun Woo works as an anchorman at a TV broadcasting station. He is in love with news reporters Joo Min Young, who is bright and honest. Park Sun Woo then obtains 9 incense items, which allows him to go back 20 years in time. Sun Woo travels to the past in an attempt to keep his family safe in order to change the world he lives in today. However, this is not without consequences for his actions in the past affects the lives of many in the present, including his crush.","Mystery, Romance, Supernatural","Time Travel, 1990s, Bromance, Female Chases Male First, Announcer Male Lead, Reporter Female Lead, Magical Object, Arrogant Male Lead, Brain Tumor, Hidden Past","Lee Jin Wook, Lee Seung Joon, Jo Yoon Hee, Oh Min Suk, Lee Yi Kyung, Jo Min Ah",,
#180,Extraordinary You,2019,32,8.4,"What would you do if you found out that you were, in fact, a character in a comic? And an extra character on top of that? Change the course of the story, obviously! Eun Dan Oh is a 17-year-old high-school student from a wealthy family who suffers from a lifelong heart condition that inevitably means she will not live past her teenage years. However, when Dan Oh realizes she is experiencing long gaps in her memory as well, she comes into the unhappy realization of another fact in her life: she is a character in a Korean webtoon and all of her actions are predetermined by the artist who draws her. To make matters worse, she discovers she is only a supporting character in the cast. With her newfound understanding of the world she inhabits, she is determined to find true love in her own plot-line and circumvent the author?ôs plans for her character by utilizing the flashes of storyboard she alone is able to see.","Comedy, Romance, Youth, Fantasy","Sassy Female Lead, Nice Male Lead, Adapted From A Webtoon, High School, Illness, Height Difference, Love Triangle, Character Development, Strong Female Lead, Amnesia","Kim Hye Yoon, Rowoon, Lee Jae Wook, Lee Na Eun, Kim Young Dae, Jung Gun Joo",,
#181,Pinocchio,2014,20,8.4,"The idealistic Choi In Ha has her work cut out for her when she becomes a broadcast reporter, especially when she suffers from a condition known as ?úPinocchio syndrome,??which makes her break out into hiccups whenever she tells a lie. Her rookie colleagues include Choi Dal Po, whose shabby appearance masks his true eloquence and sharp memory; Seo Bum Jo, a wealthy heir who has had everything handed to him in life; and Yoon Yoo Rae, whose fangirl knowledge comes in handy in covering the news. The 20-something newbie reporters pursue justice as they try to discover themselves in the process.","Thriller, Mystery, Comedy, Romance","Tragic Past, Hidden Identity, Double Identity, Journalism, Adopted Siblings Love, Cohabitation, Revenge, Wrongfully Accused, Bromance, News Media","Lee Jong Suk, Park Shin Hye, Kim Young Kwang, Lee Yoo Bi, Jin Kyung, Lee Pil Mo",,
#182,Doctor Prisoner,2019,32,8.4,"Doctor Prisoner centers around an ace doctor in a university hospital?ôs emergency care center, a skilled professional who treats his patients with full devotion and without discrimination. However, his medical license gets suspended as a result of a medical malpractice incident that arises when the hospital board director causes a ruckus. He then gets his certificate as a medical internist and applies to work at a prison, where his plan is to cozy up to all the bigshots there?îbusiness tycoons, celebrities caught for doing drugs, sports stars guilty of gambling?îand to win allies, with the ultimate goal of getting revenge against the hospital that ousted him. To do so, he?ôll get rid of the existing prison chief doctor and claim the spot for himself.","Thriller, Law, Crime, Medical","Revenge, Smart Male Lead, Corruption, Power Struggle, Scheme, Lying, Smart Female Lead, Strong Female Lead, Deception, Character Development","Namkoong Min, Kwon Na Ra, Kim Byung Chul, Choi Won Young, Lee Da In, Jin Hee Kyung",,
#183,Love All Play,2022,16,8.4,"A sports romance drama that depicts the passion and affection for badminton of a male and female protagonist who is a mixed doubles group with players from the badminton business team. Park Tae Joon, who naturally wound up in the world of badminton because of his parents??badminton equipment business. Although he had begun to see the sport as work, his passion for badminton is reignited due to a desire to impress a woman. Park Tae Yang is a former aspiring Olympian who had to leave the badminton world for three years due to a bribing scandal.","Romance, Drama, Sports, Melodrama","Badminton, Athlete Male Lead, Childhood Acquaintance, Teamwork, Friends To Lovers, Competition, Height Difference, Athlete Female Lead, Youth, Friendship","Park Ju Hyun, Chae Jong Hyeop, Park Ji Hyun, Kim Moo Joon, Seo Ji Hye, Jo Han Chul",,
#184,My Unfamiliar Family,2020,16,8.4,"Is blood thicker than water? Kim Eun Hee, is about to find out. She is the middle child in a family that is slowly starting to drift apart. Her older sister is a former patent attorney, and her younger brother is a sensitive soul. And although her father is hard-working, he is often distant ??an attitude that has her mother poised to begin a new chapter in her life. While she pines for intimacy, Kim Eun Hee keeps her feelings hidden from her family. Instead, she prefers to confide in her close male college friend Park Chan Hyuk ??a man who has become more like a brother to her than any of her real siblings. And it is to him that she turns for love advice as she looks to return to the dating scene after a long absence. But what happens when events take a turn? Could the family pull together in time to weather the storm? And when the going gets tough, will it be Kim Eun Hee?ôs family or her friends who step up to the plate?","Life, Drama","Family Crisis, Amnesia, Misunderstanding, Multiple Mains, Mother-Son Relationship, Father-Daughter Relationship, Mother-Daughter Relationship, Father-Son Relationship, Friends To Lovers, Marriage","Han Ye Ri, Kim Ji Suk, Choo Ja Hyun, Jung Jin Young, Won Mi Kyung, Shin Jae Ha",,
#185,Her Private Life,2019,16,8.4,"A dedicated professional, Sung Deok Mi lives for her work as an art gallery curator. Devoting herself to her work, she is exceptional in every way, save one. Beneath that cool, professional facade, Deok Mi carries a dark secret. A secret she desperately wants to keep from the world. A secret that has driven lovers away. A secret that rules every moment of her personal life... Sung Deok Mi is the ultimate Cha Shi An fangirl. The devoted manager of a Shi An fansite, Deok Mi eats, breathes, and sleeps for Shi An. He is her sun, her moon. Her entire universe revolves around him. This is the secret Deok Mi must hide from the world. And hide it she does. At least until Ryan Gold, the art gallery?ôs new director, saunters into her life. A once famous painter, the former artist turned director considers himself an indifferent being, unconcerned with the lives of others. But when he uncovers Deok Mi?ôs secret, everything changes.","Business, Comedy, Romance, Drama","Boss-Employee Relationship, Independent Female Lead, Eccentric Female Lead, Orphan Male Lead, Smart Male Lead, Calm Male Lead, Sismance, Fan Culture, Steamy Kiss, Strong Female Lead","Park Min Young, Kim Jae Wook, Ahn Bo Hyun, One, Kim Bo Ra, Park Jin Joo",,
#186,Age of Youth 2,2017,14,8.4,"Five girls in their 20s share a house called Belle ?poque. A year has passed since ?úHello, My Twenties 1.??Each of them got a job, went back to school, is still trying to get a boyfriend, or is getting over her first breakup. One day, a new student arrives at the house with a letter she stumbled upon. The letter is filled with curses against one of the girls at Belle ?poque.","Mystery, Comedy, Romance, Life","Multiple Mains, Sismance, Trauma, Multiple Couples, Friendship, Taller Woman/Shorter Man, Investigation, Strong Female Lead, Character Development, Youth","Han Ye Ri, Han Seung Yeon, Park Eun Bin, Ji Woo, Choi A Ra, Kim Min Seok",,
#187,Secret,2013,16,8.4,"A man who does not believe in love, falls for a woman who has been hurt by it. Min Hyuk is wealthy, with everything but a good personality, He?ôs been enraged and consumed by the need for revenge, ever since he learnt his lover was the victim  of a hit-and-run accident. Yoo Jung takes the blame for her boyfriend, the actual driver at the time of the accident. In time, she will feel betrayed for having done so. Now in prison and in a state of despair, Jung still refuses to give up on life entirely.","Romance, Drama, Melodrama","Revenge, Nice Female Lead, Rich Male Lead, Love Square, Naive Female Lead, Slow Burn Romance, Wrongfully Accused, Rich Man/Poor Woman, Pregnancy, Hit And Run","Ji Sung, Hwang Jung Eum, Bae Soo Bin, Lee Da Hee, Lee Deok Hwa, Jo Mi Ryung",,
#188,Military Prosecutor Doberman,2022,16,8.4,"Do Bae Man became military prosecutor only to make more money and be successful. On the other hand, Cha Woo In, recently joining Bae Man?ôs team, became one for her revenge. As these two different purposes shows, the two have very different backgrounds and personalities. However, as they work on the same case, Bae Man and Woo In help each other and even grow together as fine military prosecutors.","Action, Military, Mystery, Law","Military Abuse, Investigation, Death Of A Mother, Prosecutor Female Lead, Prosecutor Male Lead, Death Of A Father, Money-Hungry Male Lead, Successful Male Lead, Evil Parental Figure, Money-Obsession","Ahn Bo Hyun, Jo Bo Ah, Oh Yeon Soo, Kim Young Min, Kim Woo Seok, Kang Mal Geum",,
#189,Pachinko,2022,8,8.4,This sweeping saga chronicles the hopes and dreams of a Korean immigrant family across four generations as they leave their homeland in an indomitable quest to survive and thrive.,"Historical, Romance, Drama, Melodrama","Co-produced, Discrimination, Immigrant, Adapted From A Novel, Abuse Of Power, Racism, Japanese Colonial Rule, 1980s, Forbidden Love, Miniseries","Kim Min Ha, Youn Yuh Jung, Jin Ha, Lee Min Ho, Jeon Yu Na, Park So Hee",,
#190,My Roommate Is a Gumiho,2021,16,8.4,"Shin Woo Yeo is a handsome and smart writer, who is actually a 999-year-old nine-tailed fox. To become a human, he collects human energy in a bead. One day, the drunk friend of Lee Dam, a university student, falls asleep on top of an expensive car whose owner is Woo Yeo. While Lee Dam struggles to take her friend away and Woo Yeo trying to help her, Woo Yeo's bead accidentally falls out of his mouth, and Lee Dam unintentionally swallows it. The bead can exist inside of a human for no more than 1 year and, afterward, the bead will break inside of that person causing the person to die. Not wanting to lose his chance in becoming a human, Woo Yeo explains to Lee Dam their predicament and suggests living together until they figure out a solution. Lee Dam, who has never had a boyfriend in her life, now lives with Shin Woo Yeo.","Comedy, Romance, Fantasy","Nine-tailed Fox, Cohabitation, Smart Male Lead, Nice Male Lead, Supernatural, Independent Female Lead, Interspecies Romance, Adapted From A Webtoon, Friendship, Multiple Mains","Jang Ki Yong, Lee Hye Ri, Kang Han Na, Kim Do Wan, Bae In Hyuk, Park Kyung Hye",,
#191,Yumi's Cells 2,2022,14,8.4,"After suffering a painful breakup, Yu Mi?ôs love cells have shut down completely, but a chance meeting with the emotionally stunted game designer, Goo Woong, changes all of that. Waking up a number of each other?ôs cells, Yu Mi and Goo Woong find themselves drawing closer, but even with the revival of their long-dormant love cells, their relationship wasn?ôt destined to last. Now a much wiser and more mature individual, Yu Mi finds herself willing to take on a set of challenges after an unexpected source of inspiration ignites her internal fire. Inspired by her co-worker, Bobby Yoo, Yu Mi and her hard-working cells set out to make all of her dreams come true.","Comedy, Romance, Life","Workplace Setting, Office Worker Female Lead, Office Worker Male Lead, Illustrator Supporting Character, Workplace Romance, Sweet Male Lead, Mixed Live Action-Animation, Adapted From A Webtoon","Kim Go Eun, Park Jin Young, Ahn Bo Hyun, Lee Yoo Bi, Mi Ram, Kwon Seung Woo",,
#192,My Country: The New Age,2019,16,8.4,"Set during the end of the Goryeo period to the early Joseon period. Two friends aim their swords against one another due to differences in opinion about ""my country."" Seo Hwi is a warrior. His father Seo Geom is a famous commander. Seo Hwi does not compromise when it comes to injustice. His life devolves into a hellish existence, but he still holds a smile. Nam Sun Ho is smart and a talented figure. Because his mother was born into the lowest class, Nam Sun Ho is looked down upon by other people. He wants to pass the military service examination. Due to a corruption scandal involving his father, Nam Sun Ho loses his dream. Making things worse, he comes into conflict with Seo Hwi over a misunderstanding.","Action, Historical, Romance, Drama","Friendship, Multiple Mains, Bromance, Joseon Dynasty, Strong Male Lead, Power Struggle, War, Smart Female Lead, First Love, Evil Parental Figure","Yang Se Jong, Woo Do Hwan, Kim Seol Hyun, Jang Hyuk, Kim Yeong Cheol, Ahn Nae Sang",,
#193,Sell Your Haunted House,2021,16,8.4,"Ji Ah, a woman who has inherited exorcism abilities from her mother, is the owner of Daebak Realty, a company that specializes in selling haunted houses. Ji Ah looks perfect and is also brilliant, but her hot temper makes her fists fly before her words. One day, Ji Ah encounters a conman named In Beom who specializes in exorcism fraud. Late at night when Daebak Realty operates, In Beom visits Ji Ah to make an offer. He suggests that they team up to exclusively sell houses that are haunted by vengeful spirits and lingering ghosts. Can the two get along well and deal with house prices, ghosts, and their sorrowful stories?","Thriller, Mystery, Comedy, Fantasy","Ghost, Supernatural, Exorcism, Strong Female Lead, Smart Female Lead, Cold Female Lead, Suspense, Crime, Secret, Death","Jang Na Ra, Jung Yong Hwa, Kang Hong Suk, Kang Mal Geum, Baek Eun Hye, Ahn Kil Kang",,
#194,Player,2018,14,8.4,"A police redemption team consisting of a swindler, a fighter, an elite hacker, and a talented driver is asked to take back property hidden away by criminals. The driver, Cha Ah Ryung, grew up on the streets after being abandoned by her parents.","Action, Thriller, Mystery, Comedy","Strong Female Lead, Corruption, Hidden Identity, Conspiracy, Double Identity, Fight, Gang, Unusual Friendship, Badass Male Lead, Hardworking Male Lead","Song Seung Heon, Krystal Jung, Lee Si Eon, Tae Won Seok, Kim Won Hae, Ahn Se Ho",,
#195,The Legend of the Blue Sea,2016,20,8.4,"How can a mermaid from the Joseon era survive in modern society? Shim Chung is a mermaid who follows her one true love, a nobleman?ôs son named Kim Ryung from the Joseon Dynasty, to modern-day Seoul. Ryung?ôs modern doppelg√§nger is Heo Joon Jae, a highly skilled scam artist who first becomes interested in Shim Chung because of a jade bracelet worth $6 million that Shim Chung wears. With nowhere to go, Shim Chung is taken in by Joon Jae, who also finds his con partners, Jo Nam Doo and Tae Oh, hiding out in his home from a vengeful past victim of their scams. Shim Chung discovers a rival for Joon Jae?ôs heart in Cha Shi Ah, a researcher at KAIST who deals with ancient artifacts. When a dangerous killer named Ma Dae Yeong, sent by Joon Jae?ôs stepmother who wants to make her own son the heir to Joon Jae?ôs fortunes, can Shim Chung survive her strange new environment while also helping Joon Jae avoid the dangers that await him?","Comedy, Romance, Drama, Fantasy","Naive Female Lead, Interspecies Romance, Eccentric Female Lead, Cohabitation, Evil Stepmother, First Love, Sassy Female Lead, Hidden Identity, Nice Male Lead, Bromance","Lee Min Ho, Jun Ji Hyun, Lee Hee Joon, Shin  Won Ho, Shin Hye Sun, Moon So Ri",,
#196,Come and Hug Me,2018,32,8.4,"This is the story of a tragic love that spans 12 years. When they were children, Yoon Na Moo and Gil Nak Won were each others first love. They are forced to break apart when Na Moo's father Yoon Hee Jae, a psychopath serial killer, murders Nak Won's parents. 9 years later Yoon Na Moo is known as Chae Do Jin, a passionate and kind rookie detective wishing to atone for his father's sins. And Gil Nak Won is now Han Jae Yi, an aspiring actress following in the footsteps of her mother. She suffers from a panic disorder but still has a good outlook on life. However, the sadness of their past comes to light again and their short-lived encounter is over before it began. Another three years on, Jae Yi has become a popular actress and Do Jin is now an experienced detective. When their fate becomes connected once more, will their love prove to be stronger than their past?","Thriller, Mystery, Romance, Melodrama","Evil Parental Figure, Trauma, Nice Male Lead, Healing, First Love, Violence, Strong Female Lead, Successful Female Lead, Calm Male Lead, Murder","Jang Ki Yong, Jin Ki Joo, Heo Joon Ho, Yoon Jong Hoon, Kim Kyung Nam, Seo Jung Yeon",,
#197,Partners for Justice,2018,32,8.4,"Baek Beom has worked as a forensic doctor for 10 years, he is excellent with his work, but does not open his mind to other people. Eun Sol is a rookie prosecutor with a  bright personality and she comes from a wealthy family. The forensic scientist with a bad personality and a warm-hearted prosecutor must join forces in order to catch a serial killer.","Thriller, Mystery, Law, Medical","Forensic Medical Examiner Male Lead, Prosecutor Female Lead, Forensic Science, Lieutenant Supporting Character, Serial Killer Supporting Character, Criminal Supporting Character, Age Gap [Drama Life], Age Gap [Real Life], Warm Female Lead, Smart Female Lead","Jung Jae Young, Jung Yoo Mi, Lee Yi Kyung, Park Eun Seok, Stephanie Lee, Joo Jin Mo",,
#198,Seasons of Blossom,2022,16,8.4,"A story of love and friendship between five high school students from Seoyeon High School. Lee Ha Min appears like a bright person, but there is also darkness within his mind. Han So Mang is a warm-hearted person, but she is also quite timid. Lee Jae Min is a popular student with a painful past. He is kind to everyone around him. Yoon Bo Mi is a sweet, model student. Choi Jin Young loves playing games. He can seem unfriendly and has a delicate personality.","Comedy, Romance, Youth, Drama","Student, Suicide, Flashback To Past, Death, School, Friendship, Childhood Friends' Relationship, Teenager Female Lead, Teenager Male Lead, Teacher Female Lead","Seo Ji Hoon, So Ju Yeon, Kim Min Kyu, Kang Hye Won, Yoon Hyun Soo, Oh Yu Jin",,
#199,The Tale of Nokdu,2019,32,8.4,"Jeon Nok Du lives on an island with his father and older brother. He is smart and a good swordsman. Since he was little, his father did not let him study or go to the mainland. One day, his father and older brother are attacked by a group of female assassins. Jeon Nok Du chases after one of the assassins to the capital. During that time, Jeon Nok Du meets Dong Dong Ju. She wants to shoot the King with her arrow, but Jeon Nok Du saves her from trouble. Meanwhile, the assassin that Jeon Nok Du chases goes into a widowed village. To find out who and why his family was attacked, Jeon Nok Du disguises himself as a woman and enters the widow's village. There, he meets Dong Dong Ju again. She is an apprentice to become a gisaeng.","Action, Historical, Comedy, Romance","Cross-Dressing, Joseon Dynasty, Hidden Identity, Strong Male Lead, Birth Secret, Strong Female Lead, Gender Bender, First Love, Martial Arts Master, Smart Male Lead","Jang Dong Yoon, Kim So Hyun, Kang Tae Oh, Jung Joon Ho, Kim Tae Woo, Yoon Yoo Sun",,
#200,Psychopath Diary,2019,16,8.4,"Yook Dong Shik is a 34-year-old office worker who is so weak and timid that he is used by everybody around him. After an incident, he becomes the scapegoat of his company, and so facing losing his job and his family turning their back on him, he decides to commit suicide. While doing so, he unexpectedly stumbles across a murder scene, but gets into an accident while running from the murderer. He wakes up with amnesia with the psychopath's diary in his possession. With no clues to his true nature other than the diary, and his fragmented memory lining up with the diary entry, he begins to believe that he is in fact a psychopath serial killer. 30-year-old neighborhood police officer, Shim Bo Kyung is investigating a suspected serial homicide. After a few run-ins with Dong Shik, she believes that he is an extremely kind man. However, after one too many coincidences, she starts to suspect Dong Shik might be more involved in the case than she thought. 36-year-old Seo In Woo is a cold and meticulous psychopath. On the day of his 7th crime, things go wrong and he loses his diary where he writes of all his daily life and detailed description of his murders.","Thriller, Mystery, Comedy, Crime","Black Comedy, Amnesia, Personality Change, Nice Male Lead, Misunderstanding, Wrongfully Accused, Investigation, Murder, Smart Female Lead, Workplace Abuse","Yoon Shi Yoon, Jung In Sun, Park Sung Hoon, Lee  Han Wi, Hwang Geum Byul, Kim Kyul",,
#201,Knight Flower,2024,12,8.4,"Cho Yeo Hwa has been a widow for 15 years. Her in-laws are the most prestigious noble family in the kingdom. During the day, she leads the life of a widow devoted entirely to her dead husband's memory and rarely ventures outside the gate of her home. At night, Yeo Hwa dons the mask of Hero, who secretly jumps over the surrounding wall to save the helpless. In the process, she crosses paths with Park Soo Ho, a handsome senior officer in the Capital Guard, who quickly realizes that Hero and Yeo Hwa are not who or what they appear to be.","Historical, Mystery, Comedy, Drama","Double Identity, Investigation, Widow Female Lead, Joseon Dynasty, Mother-in-law - Daughter-in-law Relationship, Brothers' Relationship, Corruption, Action, Age Gap [Drama Life], Skilled Fighter","Lee Ha Nee, Lee Jong Won, Lee Ki Woo, Kim Sang Joong, Park Se Hyun",,
#202,The Beauty Inside,2018,16,8.4,"Han Se Gye is a top actress, also known as a troublemaker, with many rumors around her. To others, her life appears as a mystery, when in fact she is faced with a strange occurrence where she must change into a different body and new identity for one week a month. She encounters Seo Do Jae, a brilliant man who is an executive at an airline company. He seems to have it all: a perfect appearance, knowledge, and a good job; but he has a secret too. He suffers from Prosopagnosia, the inability to recognize faces. However, he manages to hide this from the world, every day he makes an effort to remember people by their personalities. Seo Do Jae's life begins to change when he meets Han Se Gye. She is the only person whose face he can recognize. But with Han Se Gye's constant disappearance and change, how long can she keep her secret?","Comedy, Romance, Melodrama, Supernatural","Prosopagnosia, Successful Male Lead, Strong Female Lead, Calm Male Lead, Secondary Couple, Contract Relationship, Famous Female Lead, Rich Female Lead, Rich Male Lead, Sismance","Seo Hyun Jin, Lee Min Ki, Lee Da Hee, Ahn Jae Hyun, Lee Tae Ri, Moon Ji In",,
#203,Tale of the Nine-Tailed,2020,16,8.4,"The mythical nine-tailed fox, or gumiho, Lee Yeon had to settle in the city many centuries ago. Able to transform into human form, he eradicates supernatural beings that threaten the mortal world. His real aim is to find the reincarnation of his lost first love. The talented television producer Nam Ji Ah works in a show that features urban myths. In the past, her parents were involved in a mysterious car accident and disappeared, and she suspects that Lee Yeon might be connected with this accident. The half-brother to Lee Yeon is the captivating Lee Rang. Despite being half-human himself, he harbors a deep-seated contempt for all people. For sport, he will unleash his seductive prowess upon his human-du-jour, by promising to grant them their wishes, only to trick them into paying a hefty price for their earthly desires.","Thriller, Horror, Romance, Fantasy","Nine-tailed Fox, Reincarnation, Supernatural, Sibling Rivalry, Fated Love, Interspecies Romance, Mythical Being, Hardworking Female Lead, Smart Female Lead, Strong Female Lead","Lee Dong Wook, Jo Bo Ah, Kim Bum, Kim Yong Ji, Hwang Hee, Kim Jung Nan",,
#204,Love to Hate You,2023,10,8.4,"Yeo Mi Ran works as a novice lawyer at Gilmu Law Firm, a company that primarily serves the entertainment industry. She has no interest in pursuing a romantic relationship and detests losing to men in any competition. Nam Kang Ho, a renowned actor in the entertainment industry, is widely popular in South Korea owing to his good looks, intellect, and benevolent nature. While he is in high demand for romantic movie roles, he doesn't have much faith in women. Despite their shared disbelief in love, Yeo Mi Ran and Nam Kang Ho find themselves engaged in a romantic battle.","Comedy, Law, Romance","Badass Female Lead, Enemies To Lovers, Actor Male Lead, Famous Male Lead, Entertainment Industry, Aggressive Female Lead, Social Issues, Skilled Fighter, Lawyer Female Lead, Gender Discrimination ","Kim Ok Bin, Yoo Teo, Kim Ji Hoon, Go Won Hee",,
#205,The Good Detective,2020,16,8.4,"When doubts arise about a five-year-old murder conviction, a veteran detective partners with a young hotshot to hunt down the case's hidden truths. Kang Do Chang is an 18-year veteran detective who one day, arrests an alleged murderer named Lee Dae Chul. The court later sentences him to death but when reviewing the file of his case, Do Chang discovers evidence that would clear Dae Chul. With time is running out as the mounting evidence threatens to expose the error, Do Chang is caught between seeking power and seeking justice when he meets Oh Ji Hyuk, an elite detective from the police force. These opposites partners begin working together.","Action, Thriller, Mystery, Drama","Wrongfully Accused, Corruption, Investigation, Smart Male Lead, Bromance, Corrupt Legal System, Murder, Crime, Detective Male Lead, Suspense","Son Hyun Joo, Jang Seung Jo, Lee Elijah, Oh Jung Se, Ji Seung Hyun, Son Jong Hak",,
#206,See You in My 19th Life,2023,12,8.4,"Ban Ji Eum has the ability to remember all her past lives, living through countless reincarnations for nearly a thousand years. After a tragic accident ends her previous life, she seeks to reconnect with the people from that life, focusing on Moon Seo Ha, whom she met in her 18th life. As she navigates her 19th life, will memories of her past hinder her romance, or can love endure across lifetimes? Meanwhile, Yoon Cho Won, a landscape architect and the younger sister of Yoon Joo Won, struggles to maintain her brightness after her sister?ôs death. Upon meeting Ban Ji Eum, she sees her sister in her and becomes curious about Ban Ji Eum?ôs identity. Ha Do Yoon, Moon Seo Ha?ôs childhood friend and secretary, feels a mysterious connection with him, despite their different backgrounds.","Comedy, Romance, Drama, Fantasy","Reincarnation, Past Life, Trauma, Death, Adapted From A Webtoon, Childhood Friends' Relationship, First Love, Flashback To Past, Competent Female Lead, Straightforward Female Lead","Shin Hye Sun, Ahn Bo Hyun, Ha Yoon Kyung, Ahn Dong Goo",,
#207,He Is Psychometric,2019,16,8.4,"After losing his parents in a fire, Lee Ahn acquires the power of psychometry, the ability to read a person or an object's past through physical contact, and he decides to use it to take bad people down. While he does not know how to control his power yet, he meets Yoon Jae In who tries her best to hide her painful secrets. Together with his foster guardian, prosecutor Kang Seong Mo, and the latter's colleague, investigator Eun Ji Soo, they team up to solve an elusive case that has been haunting the lives of Ahn, Sung Mo, and Jae In. The case revolves around the life of prosecutor Kang's mother and father, who were the main cause of the fire. Jae In and Lee Ahn heal each other through their past present and future and find the culprit.","Thriller, Mystery, Romance, Supernatural","Psychometry, Special Power, Tragic Past, Nice Male Lead, Smart Female Lead, Bromance, Strong Female Lead, Slow Romance, Sassy Female Lead, Death","Park Jin Young, Shin Ye Eun, Kim Kwon, Kim Da Som, Noh Jong Hyun, Go Yoon Jung",,
#208,One Spring Night,2019,32,8.4,"eeling trapped in a stale four-year relationship and reluctant to take the next step into marriage, Lee Jung In stumbles into Yu Ji Ho's pharmacy one morning, nursing a hangover after a night of drinking with her friend. As she tries to reassemble herself before going to work, Jung In discovers that she has forgotten her wallet and cannot pay. Ji Ho kindly helps Jung In, despite her prickly personality. What begins as an innocent daily interaction, develops into a deeper attachment as the two find themselves drawn to one another. They embark on a secret friendship while navigating the minefield of familial and societal expectations.","Romance, Life, Drama, Melodrama","Nice Male Lead, Family Pressure, Strong Female Lead, Adult Romance, Father-Son Relationship, Strict Father, Sismance, Male Chases Female First, Mother-Son Relationship, Mother-Daughter Relationship","Jung Hae In, Han Ji Min, Kim Joon Han, Im Sung Eon, Joo Min Kyung, Song Seung Hwan",,
#209,Soundtrack #1,2022,4,8.4,"Two people have been friends for two decades, but a mere two weeks of living together blurs that fine line between love and friendship. Han Sun Woo is a handsome rookie photographer with a warm personality, while Seo Eun Soo is a lively, straightforward, and honest person who openly expresses her feelings. Three years ago, she seized a chance opportunity to become a lyricist. Nowadays details of their relatable romance are subtly interwoven into her musical compositions.","Music, Romance","Miniseries, Friends To Lovers, Unrequited Love, Long Time Friends, Friendship, Flashback To Past, Cohabitation, Best Friends' Relationship, Songwriter Female Lead, Photographer Male Lead","Park Hyung Sik, Han So Hee, Kim Joo Heon, Yoon Byung Hee, Park Min Jung, Park Hoon",,
#210,City Hunter,2011,20,8.4,"Lee Yoon Sung is a talented MIT-graduate who works on the international communications team in the Blue House. He plans revenge on five politicians who caused his father's death with his surrogate father Lee Jin Pyo and eventually becomes a ""City Hunter"".","Action, Thriller, Crime","Strong Male Lead, Hidden Identity, Revenge, Corruption, Adapted From A Manga, Strong Female Lead, Smart Male Lead, Romance, Death, Tragic Past","Lee Min Ho, Park Min Young, Lee Joon Hyuk, Kim Sang Joong, Hwang Sun Hee, Kim Mi Sook",,
#211,Class of Lies,2019,16,8.3,"The drama is about a highly successful lawyer who falls from grace because of one case. He becomes a fixed term teacher at a high school that is tied to that case in order to regain his honor. Though he goes into the classroom for selfish reasons, he begins to see the crimes that take place and he takes matters into his own hands to help protect victims from their peers. The drama will shine a spotlight on the reality of teenagers facing little to no repercussions after committing a crime because they are teenagers, providing no protection for those who become a victim to these crimes.","Thriller, Mystery, Law, Youth","Murder, Investigation, Death, High School, Jealousy, Multiple Mains, Rich Male Lead, Suspense, Attempted Murder, Attempted Suicide","Yoon Kyun Sang, Geum Sae Rok, Lee Jun Young, Choi Yoo Hwa, Choi Kyu Jin, Han So Eun",,
